DATE,DCOILBRENTEU
2018/2/8,64.26
2018/2/9,63.04
2018/2/12,62.2
2018/2/13,61.94
2018/2/14,62.29
2018/2/15,62.86
2018/2/16,64.3
2018/2/19,64.95
2018/2/20,64.68
2018/2/21,64.81
2018/2/22,66.12
2018/2/23,67.04
2018/2/26,67.96
2018/2/27,67.59
2018/2/28,66.08
2018/3/1,64.23
2018/3/2,64.26
2018/3/5,65.78
2018/3/6,65.67
2018/3/7,65.09
2018/3/8,63.87
2018/3/9,65.19
2018/3/12,64.53
2018/3/13,64.2
2018/3/14,63.61
2018/3/15,63.67
2018/3/16,64.68
2018/3/19,64.82
2018/3/20,66
2018/3/21,68.15
2018/3/22,68.98
2018/3/23,69.03
2018/3/26,68.81
2018/3/27,68.63
2018/3/28,68.13
2018/3/29,69.02
2018/3/30,.
2018/4/2,.
2018/4/3,69.02
2018/4/4,66.04
2018/4/5,66.54
2018/4/6,66.51
2018/4/9,68.19
2018/4/10,70.67
2018/4/11,72.74
2018/4/12,71.44
2018/4/13,73.18
2018/4/16,72.05
2018/4/17,71.71
2018/4/18,73.73
2018/4/19,74.85
2018/4/20,74.62
2018/4/23,74.54
2018/4/24,75.86
2018/4/25,73.79
2018/4/26,75.39
2018/4/27,75.33
2018/4/30,75.92
2018/5/1,74.85
2018/5/2,73.14
2018/5/3,73.45
2018/5/4,74.75
2018/5/7,.
2018/5/8,74.16
2018/5/9,77.6
2018/5/10,77.59
2018/5/11,77.37
2018/5/14,78.17
2018/5/15,78.94
2018/5/16,78.19
2018/5/17,80.09
2018/5/18,78.38
2018/5/21,78.34
2018/5/22,80.42
2018/5/23,78.69
2018/5/24,78.9
2018/5/25,76.6
2018/5/28,.
2018/5/29,74.51
2018/5/30,75.89
2018/5/31,76.45
2018/6/1,74.54
2018/6/4,73.41
2018/6/5,72.91
2018/6/6,73.23
2018/6/7,75.23
2018/6/8,75.11
2018/6/11,74.58
2018/6/12,74.86
2018/6/13,75.07
2018/6/14,74.77
2018/6/15,72.02
2018/6/18,74.87
2018/6/19,74.92
2018/6/20,74.25
2018/6/21,72.87
2018/6/22,73.67
2018/6/25,72.82
2018/6/26,73.58
2018/6/27,76.09
2018/6/28,76.26
2018/6/29,77.44
2018/7/2,76.71
2018/7/3,75.87
2018/7/4,76.99
2018/7/5,77.09
2018/7/6,74.98
2018/7/9,77.08
2018/7/10,77.8
2018/7/11,75.35
2018/7/12,72.11
2018/7/13,74.11
2018/7/16,71.03
2018/7/17,70.87
2018/7/18,70.52
2018/7/19,71.94
2018/7/20,71.99
2018/7/23,73.45
2018/7/24,73.53
2018/7/25,73.67
2018/7/26,74.51
2018/7/27,74.84
2018/7/30,74.99
2018/7/31,74.16
2018/8/1,72.28
2018/8/2,72.95
2018/8/3,72.48
2018/8/6,72.51
2018/8/7,72.31
2018/8/8,70.71
2018/8/9,70.55
2018/8/10,71
2018/8/13,70.62
2018/8/14,70.77
2018/8/15,68.38
2018/8/16,69.21
2018/8/17,70.14
2018/8/20,71.11
2018/8/21,71.65
2018/8/22,72.96
2018/8/23,73.73
2018/8/24,74.41
2018/8/27,74.41
2018/8/28,75.91
2018/8/29,76.07
2018/8/30,77.05
2018/8/31,76.94
2018/9/3,77.81
2018/9/4,77.51
2018/9/5,76.68
2018/9/6,75.67
2018/9/7,75.55
2018/9/10,76.77
2018/9/11,78.22
2018/9/12,80.02
2018/9/13,77.66
2018/9/14,77.87
2018/9/17,78.22
2018/9/18,79.25
2018/9/19,79.43
2018/9/20,79.03
2018/9/21,78.9
2018/9/24,80.89
2018/9/25,82.21
2018/9/26,81.87
2018/9/27,81.54
2018/9/28,82.72
2018/10/1,84.94
2018/10/2,85.63
2018/10/3,85.45
2018/10/4,86.07
2018/10/5,85.12
2018/10/8,84.22
2018/10/9,85.16
2018/10/10,83.82
2018/10/11,81.35
2018/10/12,80.71
2018/10/15,80.91
2018/10/16,80.53
2018/10/17,79.91
2018/10/18,80.3
2018/10/19,80.38
2018/10/22,80.45
2018/10/23,78.67
2018/10/24,77.34
2018/10/25,77.3
2018/10/26,77.4
2018/10/29,77.56
2018/10/30,75.68
2018/10/31,74.84
2018/11/1,71.25
2018/11/2,71.11
2018/11/5,72.68
2018/11/6,70.64
2018/11/7,70.1
2018/11/8,69.29
2018/11/9,69.01
2018/11/12,69.81
2018/11/13,65.45
2018/11/14,64.88
2018/11/15,65.61
2018/11/16,65.29
2018/11/19,64.14
2018/11/20,61.5
2018/11/21,61.65
2018/11/22,61.11
2018/11/23,57.69
2018/11/26,59.7
2018/11/27,59.58
2018/11/28,57.97
2018/11/29,58.29
2018/11/30,57.71
2018/12/3,60.17
2018/12/4,61.22
2018/12/5,61.4
2018/12/6,57.83
2018/12/7,61.71
